"";"State";"Code";"year";"Region";"Mean";"Population"
"117";"Indiana";"IN";"2010";"Midwest";125,39503130816;6483802
"118";"Iowa";"IA";"2010";"Midwest";142,179711656534;3046355
"119";"Kansas";"KS";"2010";"Midwest";142,488055785962;2853118
"120";"Kentucky";"KY";"2010";"South";141,189247992675;4339367
"121";"Louisiana";"LA";"2010";"South";164,777384414035;4533372
"122";"Maine";"ME";"2010";"Northeast";171,980894084729;1328361
"123";"Maryland";"MD";"2010";"South";191,434794679885;5773552
"124";"Massachusetts";"MA";"2010";"Northeast";156,362181656719;6547629
"125";"Michigan";"MI";"2010";"Midwest";88,5775344400667;9883640
"126";"Minnesota";"MN";"2010";"Midwest";136,589612046502;5303925
"127";"Mississippi";"MS";"2010";"South";143,512440540313;2967297
"128";"Missouri";"MO";"2010";"Midwest";138,495285483408;5988927
"129";"Montana";"MT";"2010";"West";181,582630315377;989415
"130";"Nebraska";"NE";"2010";"Midwest";136,766260523482;1826341
"131";"Nevada";"NV";"2010";"West";114,780791855315;2700551
"132";"New Hampshire";"NH";"2010";"Northeast";154,772616799406;1316470
"133";"New Jersey";"NJ";"2010";"Northeast";184,301352740682;8791894
"134";"New Mexico";"NM";"2010";"West";167,812421510802;2059179
"135";"New York";"NY";"2010";"Northeast";180,307924766768;19378102
"136";"North Carolina";"NC";"2010";"South";141,033296274718;9535483
"137";"North Dakota";"ND";"2010";"Midwest";182,730382647511;672591
"138";"Ohio";"OH";"2010";"Midwest";117,264422162726;11536504
"139";"Oklahoma";"OK";"2010";"South";154,404635594532;3751351
"140";"Oregon";"OR";"2010";"West";164,29462682945;3831074
"141";"Pennsylvania";"PA";"2010";"Northeast";175,956753855068;12702379
"142";"Rhode Island";"RI";"2010";"Northeast";174,571145673549;1052567
"143";"South Carolina";"SC";"2010";"South";142,863596367045;4625364
"144";"South Dakota";"SD";"2010";"Midwest";158,090396662959;814180
"145";"Tennessee";"TN";"2010";"South";144,270469226513;6346105
"146";"Texas";"TX";"2010";"South";151,106151781462;25145561
"147";"Utah";"UT";"2010";"West";149,580903142083;2763885
"148";"Vermont";"VT";"2010";"Northeast";186,996013878427;625741
"149";"Virginia";"VA";"2010";"South";185,838608823447;8001024
"150";"Washington";"WA";"2010";"West";165,437286561405;6724540
"151";"West Virginia";"WV";"2010";"South";153,772319952648;1852994
"152";"Wisconsin";"WI";"2010";"Midwest";142,351635785832;5686986
"153";"Wyoming";"WY";"2010";"West";193,223694156157;563626
"154";"Alabama";"AL";"2019";"South";151,971326524676;4779736
"155";"Alaska";"AK";"2019";"West";184,912719363897;710231
"156";"Arizona";"AZ";"2019";"West";210,494334003126;6392017
"157";"Arkansas";"AR";"2019";"South";155,960655918777;2915918
"158";"California";"CA";"2019";"West";240,020764874921;37253956
"159";"Colorado";"CO";"2019";"West";210,82856197474;5029196
"160";"Connecticut";"CT";"2019";"Northeast";141,793563070097;3574097
"161";"Delaware";"DE";"2019";"South";173,639384505482;897934
"162";"District of Columbia";"DC";"2019";"South";371,225256101313;601723
"163";"Florida";"FL";"2019";"South";226,608704700793;18801310
"164";"Georgia";"GA";"2019";"South";161,231334484093;9687653
"165";"Hawaii";"HI";"2019";"West";283,498802211593;1360301
"166";"Idaho";"ID";"2019";"West";229,60200299353;1567582
"167";"Illinois";"IL";"2019";"Midwest";137,542713881822;12830632
"168";"Indiana";"IN";"2019";"Midwest";148,226646799065;6483802
"169";"Iowa";"IA";"2019";"Midwest";154,602397487691;3046355
"170";"Kansas";"KS";"2019";"Midwest";159,400985080911;2853118
"171";"Kentucky";"KY";"2019";"South";157,427090382872;4339367
